Theme,Topic,Part of speech,Headword Spanish,English equivelant,
Communication and the world around us,Media and technology,v,mandar,"(to) send, order | sending, ordering",
Communication and the world around us,Media and technology,v,guardar,"(to) keep, save | keeping, saving",
Communication and the world around us,Media and technology,v,enviar,(to) send | sending,
Communication and the world around us,Media and technology,v,romper,(to) break | breaking,
Communication and the world around us,Media and technology,v,funcionar,"(to) function, work | functioning, working",
Communication and the world around us,Media and technology,v,proteger,(to) protect | protecting,
Communication and the world around us,Media and technology,v,comunicar,(to) communicate  I  communicating,
Communication and the world around us,Media and technology,v,robar,"(to) rob, steal I robbing, stealing",
Communication and the world around us,Media and technology,v,encender,(to) turn on I turning on,
Communication and the world around us,Media and technology,v,grabar,(to) record I recording,
Communication and the world around us,Media and technology,v,apagar,"(to) turn off, extinguish I turning off, extinguishing",
Communication and the world around us,Media and technology,v,votar,(to) vote I voting,
Communication and the world around us,Media and technology,adj/adv,rpido,"quick, fast",
Communication and the world around us,Media and technology,n (m/f),joven,"teenager, young person",
Communication and the world around us,Media and technology,n (m/f),influencer,influencer,
Communication and the world around us,Travel and tourism,adj,espaol,Spanish,
Communication and the world around us,Travel and tourism,adj,francs,French,
Communication and the world around us,Travel and tourism,adj,ingls,English,
Communication and the world around us,Travel and tourism,adj,cubano,Cuban,
Communication and the world around us,Travel and tourism,adj,cultural,cultural,
Communication and the world around us,Travel and tourism,adj,europeo,European,
Communication and the world around us,Travel and tourism,adj,conocido,"known, well-known",
Communication and the world around us,Travel and tourism,adj,alemn,German,
Communication and the world around us,Travel and tourism,adj,histrico,"historic, historical",
Communication and the world around us,Travel and tourism,adj,mexicano,Mexican,
Communication and the world around us,Travel and tourism,adj,hermoso,"beautiful, handsome ",
Communication and the world around us,Travel and tourism,adj,famoso,"famous, well-known",
Communication and the world around us,Travel and tourism,adj,fro,cold,
Communication and the world around us,Travel and tourism,adj,directo,"direct, straight",
Communication and the world around us,Travel and tourism,adj,argentino,Argentinian,
Communication and the world around us,Travel and tourism,adj,tranquilo,"calm, tranquil, relaxed",
Communication and the world around us,Travel and tourism,adj,clsico,"classic, classical",
Communication and the world around us,Travel and tourism,adj,italiano,Italian,
Communication and the world around us,Travel and tourism,adj,britnico,British,
Communication and the world around us,Travel and tourism,adj,industrial,industrial,
Communication and the world around us,Travel and tourism,adj,chino,Chinese,
Communication and the world around us,Travel and tourism,adj,fresco,"fresh, cool",
Communication and the world around us,Travel and tourism,adj,colombiano,Colombian,
Communication and the world around us,Travel and tourism,adj,limpio,clean,
Communication and the world around us,Travel and tourism,adj,caliente,"hot, warm",
Communication and the world around us,Travel and tourism,adj,chileno,Chilean,
Communication and the world around us,Travel and tourism,adj,perdido,lost,
Communication and the world around us,Travel and tourism,adj,barato,cheap,
Communication and the world around us,Travel and tourism,adj,caro,expensive,
Communication and the world around us,Travel and tourism,adj,animado,lively,
Communication and the world around us,Travel and tourism,adj,bienvenido,welcome,
Communication and the world around us,Travel and tourism,mwp,patatas fritas,"chips, fries",
Communication and the world around us,Travel and tourism,mwp,tomar el sol,(to) sunbathe | sunbathing,
Communication and the world around us,Travel and tourism,mwp,pasarlo bien/mal,to have a good/bad time,
Communication and the world around us,Travel and tourism,mwp,centro comercial,shopping centre,
Communication and the world around us,Travel and tourism,mwp,dar un paseo,"(to) go for a walk, stroll | going for a walk, stroll",
Communication and the world around us,Travel and tourism,n (f),historia,"history, story",
Communication and the world around us,Travel and tourism,n (f),familia,family,
Communication and the world around us,Travel and tourism,n (f),zona,"area, zone",
Communication and the world around us,Travel and tourism,n (f),vista,"view, sight ",
Communication and the world around us,Travel and tourism,n (f),iglesia,church,
Communication and the world around us,Travel and tourism,n (f),cultura,culture,
Communication and the world around us,Travel and tourism,n (f),comunidad,community,
Communication and the world around us,Travel and tourism,n (f),regin,region,
Communication and the world around us,Travel and tourism,n (f),capital,capital (city),
Communication and the world around us,Travel and tourism,n (f),lengua,"tongue, language",
Communication and the world around us,Travel and tourism,n (f),entrada,"entrance, admission ticket",
Communication and the world around us,Travel and tourism,n (f),planta,"plant, floor",
Communication and the world around us,Travel and tourism,n (f),ropa,"clothes, clothing",
Communication and the world around us,Travel and tourism,n (f),fiesta,"party, festival",
Communication and the world around us,Travel and tourism,n (f),plaza,square,
Communication and the world around us,Travel and tourism,n (f),isla,island,
Communication and the world around us,Travel and tourism,n (f),carne,meat,
Communication and the world around us,Travel and tourism,n (f),foto,"photo, picture",
Communication and the world around us,Travel and tourism,n (f),costa,coast,
Communication and the world around us,Travel and tourism,n (f),cmara,camera,
Communication and the world around us,Travel and tourism,n (f),comida,"food, meal, lunch",
Communication and the world around us,Travel and tourism,n (f),costumbre,"custom, habit, tradition",
Communication and the world around us,Travel and tourism,n (f),lluvia,rain,
Communication and the world around us,Travel and tourism,n (f),vuelta,"return, trip, ride",
Communication and the world around us,Travel and tourism,n (f),tradicin,tradition,
Communication and the world around us,Travel and tourism,n (f),salida,"exit, departure",
Communication and the world around us,Travel and tourism,n (f),lista,"list, (school) register",
Communication and the world around us,Travel and tourism,n (f),temperatura,temperature,
Communication and the world around us,Travel and tourism,n (f),estacin,"station, season (of the year)",
Communication and the world around us,Travel and tourism,n (f),montaa,mountain,
Communication and the world around us,Travel and tourism,n (f),playa,beach,
Communication and the world around us,Travel and tourism,n (f),copa,"cup, glass",
Communication and the world around us,Travel and tourism,n (f),tienda,"shop, tent",
Communication and the world around us,Travel and tourism,n (f),bolsa,bag,
Communication and the world around us,Travel and tourism,n (f),arquitectura,architecture,
Communication and the world around us,Travel and tourism,n (f),compra(s),shopping,
Communication and the world around us,Travel and tourism,n (f),carretera,road,
Communication and the world around us,Travel and tourism,n (f),identidad,identity,
Communication and the world around us,Travel and tourism,n (f),fruta,fruit,
Communication and the world around us,Travel and tourism,n (f),tarjeta,"written card, bank card",
Communication and the world around us,Travel and tourism,n (f),cena,"dinner, evening meal",
Communication and the world around us,Travel and tourism,n (f),vacaciones; de vacaciones,holidays; on holiday,
Communication and the world around us,Travel and tourism,n (f),primavera,spring,
Communication and the world around us,Travel and tourism,n (f),bebida,drink,
Communication and the world around us,Travel and tourism,n (f),geografa,geography,
Communication and the world around us,Travel and tourism,n (f),recepcin,reception,
Communication and the world around us,Travel and tourism,n (f),maleta,suitcase,
Communication and the world around us,Travel and tourism,n (f),piscina,swimming pool,
Communication and the world around us,Travel and tourism,n (f),excursin,"trip, excursion",
Communication and the world around us,Travel and tourism,n (f),camarera,waitress,
Communication and the world around us,Travel and tourism,n (f),mezquita,mosque,
Communication and the world around us,Travel and tourism,n (f),mochila,"rucksack, school bag",
Communication and the world around us,Travel and tourism,n (f),sinagoga,synagogue,
Communication and the world around us,Travel and tourism,n (f),corrida,bullfight,
Communication and the world around us,Travel and tourism,n (f),paella,paella (dish usually of rice and seafood),
Communication and the world around us,Travel and tourism,n (f),Espaa,Spain,
Communication and the world around us,Travel and tourism,n (f),Sudamrica,South America,
Communication and the world around us,Travel and tourism,n (f),"bicicleta, bici","bicycle, bike",
Communication and the world around us,Travel and tourism,n (fpl),tapas,"small dishes of food, bar snacks",
Communication and the world around us,Travel and tourism,n (m),caf,"coffee, cafe",
Communication and the world around us,Travel and tourism,n (m),camping,"camp site, camping",
Communication and the world around us,Travel and tourism,n (m),euro,euro,
Communication and the world around us,Travel and tourism,n (m),este,east,
Communication and the world around us,Travel and tourism,n (m),pas,country,
Communication and the world around us,Travel and tourism,n (m),mundo,world,
Communication and the world around us,Travel and tourism,n (m),campo,"countryside, pitch, field",
Communication and the world around us,Travel and tourism,n (m),pie; a pie,foot; on foot,
Communication and the world around us,Travel and tourism,n (m),sol,sun,
Communication and the world around us,Travel and tourism,n (m),espacio,"space, room",
Communication and the world around us,Travel and tourism,n (m),mercado,market,
Communication and the world around us,Travel and tourism,n (m),ro,river,
Communication and the world around us,Travel and tourism,n (m),viaje,"trip, journey",
Communication and the world around us,Travel and tourism,n (m),peso,"weight, peso (currency)",
Communication and the world around us,Travel and tourism,n (m),precio,"price, cost, value ",
Communication and the world around us,Travel and tourism,n (m),extranjero,"abroad, foreigner (m)",
Communication and the world around us,Travel and tourism,n (m),recuerdo,"memory, souvenir",
Communication and the world around us,Travel and tourism,n (m),metro,"underground, tube, metro, metre",
Communication and the world around us,Travel and tourism,n (m),viento,wind,
Communication and the world around us,Travel and tourism,n (m),edificio,building,
Communication and the world around us,Travel and tourism,n (m),piso,"flat, apartment, floor (of building)",
Communication and the world around us,Travel and tourism,n (m),barrio,"neighborhood, district",
Communication and the world around us,Travel and tourism,n (m),calor,"heat, hot",
Communication and the world around us,Travel and tourism,n (m),grado,degree (temperature),
Communication and the world around us,Travel and tourism,n (m),puerto,"port, harbour",
Communication and the world around us,Travel and tourism,n (m),museo,museum,
Communication and the world around us,Travel and tourism,n (m),habitante,"local (person), inhabitant",
Communication and the world around us,Travel and tourism,n (m),verano,summer,
Communication and the world around us,Travel and tourism,n (m),idioma,language,
Communication and the world around us,Travel and tourism,n (m),hotel,hotel,
Communication and the world around us,Travel and tourism,n (m),coche,car,
Communication and the world around us,Travel and tourism,n (m),jardn,garden,
Communication and the world around us,Travel and tourism,n (m),bao,bathroom,
Communication and the world around us,Travel and tourism,n (m),pan,bread,
Communication and the world around us,Travel and tourism,n (m),vino,wine,
Communication and the world around us,Travel and tourism,n (m),barco,"boat, ship",
Communication and the world around us,Travel and tourism,n (m),avin,"plane, aeroplane",
Communication and the world around us,Travel and tourism,n (m),transporte,transport,
Communication and the world around us,Travel and tourism,n (m),bosque,"forest, wood",
Communication and the world around us,Travel and tourism,n (m),tren,train,
Communication and the world around us,Travel and tourism,n (m),kilmetro,kilometer,
Communication and the world around us,Travel and tourism,n (m),plano,map,
Communication and the world around us,Travel and tourism,n (m),espectculo,"show, spectacle",
Communication and the world around us,Travel and tourism,n (m),clima,climate,
Communication and the world around us,Travel and tourism,n (m),paisaje,landscape,
Communication and the world around us,Travel and tourism,n (m),vuelo,flight,
Communication and the world around us,Travel and tourism,n (m),plato,"plate, dish",
Communication and the world around us,Travel and tourism,n (m),invierno,winter,
Communication and the world around us,Travel and tourism,n (m),templo,temple,
Communication and the world around us,Travel and tourism,n (m),trfico,traffic,
Communication and the world around us,Travel and tourism,n (m),dormitorio,bedroom,
Communication and the world around us,Travel and tourism,n (m),oeste,west,
Communication and the world around us,Travel and tourism,n (m),aeropuerto,airport,
Communication and the world around us,Travel and tourism,n (m),castillo,castle,
Communication and the world around us,Travel and tourism,n (m),restaurante,restaurant,
Communication and the world around us,Travel and tourism,n (m),billete,ticket (for transport),
Communication and the world around us,Travel and tourism,n (m),desayuno,breakfast,
Communication and the world around us,Travel and tourism,n (m),pescado,fish,
Communication and the world around us,Travel and tourism,n (m),otoo,autumn,
Communication and the world around us,Travel and tourism,n (m),pollo,chicken,
Communication and the world around us,Travel and tourism,n (m),autobs,bus,
Communication and the world around us,Travel and tourism,n (m),desfile,"procession, parade",
Communication and the world around us,Travel and tourism,n (m),alojamiento,accommodation,
Communication and the world around us,Travel and tourism,n (m),camarero,waiter,
Communication and the world around us,Travel and tourism,n (m),jamn,ham,
Communication and the world around us,Travel and tourism,n (m),ayuntamiento,"Spanish town council, city council, town hall",
Communication and the world around us,Travel and tourism,v,buscar,"(to) look for, fetch | looking for, fetching",
Communication and the world around us,Travel and tourism,v,perder; perderse,"(to) lose, miss | losing, missing; (to) get lost | getting lost",
Communication and the world around us,Travel and tourism,v,comer,(to) eat | eating,
Communication and the world around us,Travel and tourism,v,comprar,"(to) buy, purchase | buying, purchasing",
Communication and the world around us,Travel and tourism,v,pagar,(to) pay (for) | paying (for),
Communication and the world around us,Travel and tourism,v,vender,(to) sell |selling,
Communication and the world around us,Travel and tourism,v,costar,"(to) cost, be hard | costing, being hard",
Communication and the world around us,Travel and tourism,v,visitar,(to) visit | visiting,
Communication and the world around us,Travel and tourism,v,viajar,(to) travel | travelling,
Communication and the world around us,Travel and tourism,v,disfrutar,(to) enjoy | enjoying,
Communication and the world around us,Travel and tourism,v,probar,"(to) taste, try | tasting, trying",
Communication and the world around us,Travel and tourism,v,conducir,(to) drive | driving,
Communication and the world around us,Travel and tourism,v,coger,"(to) take, take hold of, catch | taking, taking hold of, catching",
Communication and the world around us,Travel and tourism,v,organizar,(to) organise | organising,
Communication and the world around us,Travel and tourism,v,soar ,(to) dream I dreaming,
Communication and the world around us,Travel and tourism,v,comunicar,(to) communicate  I  communicating,
Communication and the world around us,Travel and tourism,v,montar,"(to) ride, set up I riding, setting up",
Communication and the world around us,Travel and tourism,v,practicar,(to) practise I practising,
Communication and the world around us,Travel and tourism,v,descansar,"(to) rest, relax I resting, relaxing",
Communication and the world around us,Travel and tourism,v,llover,(to) rain I raining,
Communication and the world around us,Travel and tourism,v,reservar,"(to) book, reserve | booking, reserving",
Communication and the world around us,Travel and tourism,v,nadar,(to) swim | swimming,
Communication and the world around us,Travel and tourism,adj/adv,rpido,"quick, fast",
Communication and the world around us,Travel and tourism,n (m/f),mar,sea,
Communication and the world around us,Travel and tourism,n (m/f),turista,tourist,
